url,type,state,verdict,lastCrawl
https://toolfaultfinder.com/,homepage,"Submitted and indexed",PASS,2026-09-16T08:16:45Z
https://toolfaultfinder.com/about/,static-page,"Submitted and indexed",PASS,2026-09-16T09:32:33Z
https://toolfaultfinder.com/affiliate-disclosure/,static-page,"Submitted and indexed",PASS,2026-09-15T09:02:43Z
https://toolfaultfinder.com/contact/,static-page,"Submitted and indexed",PASS,2026-09-10T04:58:02Z
https://toolfaultfinder.com/faults/,fault-index,"Submitted and indexed",PASS,2026-09-13T08:54:33Z
https://toolfaultfinder.com/how-we-research/,static-page,"Submitted and indexed",PASS,2026-08-29T08:04:15Z
https://toolfaultfinder.com/privacy-policy/,static-page,"Submitted and indexed",PASS,2026-08-30T12:13:39Z
https://toolfaultfinder.com/terms/,static-page,"Submitted and indexed",PASS,2026-08-22T20:57:30Z
https://toolfaultfinder.com/tools/,fault-entry,"Submitted and indexed",PASS,2026-08-29T02:00:39Z
https://toolfaultfinder.com/tools/axminster/aw106pt2/,fault-entry,"Submitted and indexed",PASS,2026-07-16T22:28:25Z
https://toolfaultfinder.com/tools/bambu-lab/,fault-entry,"Submitted and indexed",PASS,2026-09-16T17:30:33Z
https://toolfaultfinder.com/tools/bambu-lab/a1-mini/,fault-entry,"Submitted and indexed",PASS,2026-09-16T17:29:13Z
https://toolfaultfinder.com/tools/bambu-lab/a1/,fault-entry,"Submitted and indexed",PASS,2026-08-29T05:38:38Z
https://toolfaultfinder.com/tools/bambu-lab/p1s/,fault-entry,"Submitted and indexed",PASS,2026-09-16T17:30:27Z
https://toolfaultfinder.com/tools/bosch/,fault-entry,"Submitted and indexed",PASS,2026-08-29T01:31:37Z
https://toolfaultfinder.com/tools/bosch/gws-7-115/,fault-entry,"Submitted and indexed",PASS,2026-09-08T08:02:49Z
https://toolfaultfinder.com/tools/bosch/pst-700-e/,fault-entry,"Submitted and indexed",PASS,2026-07-06T08:00:53Z
https://toolfaultfinder.com/tools/creality/,fault-entry,"Submitted and indexed",PASS,2026-09-16T14:32:55Z
https://toolfaultfinder.com/tools/creality/ender-3-v2/,fault-entry,"Submitted and indexed",PASS,2026-09-16T14:33:06Z
https://toolfaultfinder.com/tools/creality/ender-3/,fault-entry,"Submitted and indexed",PASS,2026-09-15T18:02:04Z
https://toolfaultfinder.com/tools/dewalt/,fault-entry,"Submitted and indexed",PASS,2026-08-29T07:57:01Z
